utilization.type,state,year,quarter,suppression,proper_ndc,gennme,prodnme,numberrx,yearQuarter
FFSU,PA,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,ID,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,VA,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,WA,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,MS,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,AR,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,AR,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,WA,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
MCOU,KS,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,NJ,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,NJ,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,DE,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,ND,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,MA,2012,4,F,00069046856,Varenicline,CHANTIX,57,2012.75
MCOU,MN,2012,2,F,00069046856,Varenicline,CHANTIX,91,2012.25
FFSU,NM,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,SD,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,SC,2012,4,F,00069046856,Varenicline,CHANTIX,17,2012.75
MCOU,KY,2012,4,F,00069046856,Varenicline,CHANTIX,34,2012.75
MCOU,MS,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,PA,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,NY,2012,3,F,00069046856,Varenicline,CHANTIX,67,2012.5
FFSU,DC,2012,4,F,00069046856,Varenicline,CHANTIX,16,2012.75
FFSU,NV,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,IL,2012,2,F,00069046856,Varenicline,CHANTIX,64,2012.25
MCOU,OR,2012,3,F,00069046856,Varenicline,CHANTIX,52,2012.5
FFSU,LA,2012,3,F,00069046856,Varenicline,CHANTIX,74,2012.5
FFSU,MA,2012,3,F,00069046856,Varenicline,CHANTIX,47,2012.5
MCOU,GA,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,SC,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,MN,2012,2,F,00069046856,Varenicline,CHANTIX,27,2012.25
FFSU,MO,2012,1,F,00069046856,Varenicline,CHANTIX,58,2012
MCOU,SC,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,NM,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,PA,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,WA,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,FL,2012,3,F,00069046856,Varenicline,CHANTIX,33,2012.5
FFSU,DC,2012,2,F,00069046856,Varenicline,CHANTIX,22,2012.25
FFSU,LA,2012,2,F,00069046856,Varenicline,CHANTIX,78,2012.25
MCOU,MD,2012,4,F,00069046856,Varenicline,CHANTIX,68,2012.75
FFSU,KY,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,MS,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,IN,2012,3,F,00069046856,Varenicline,CHANTIX,70,2012.5
FFSU,LA,2012,4,F,00069046856,Varenicline,CHANTIX,34,2012.75
MCOU,WI,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,OH,2012,2,F,00069046856,Varenicline,CHANTIX,163,2012.25
FFSU,NE,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,HI,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,NJ,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,OR,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,AR,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
MCOU,PA,2012,2,F,00069046856,Varenicline,CHANTIX,90,2012.25
MCOU,OH,2012,3,F,00069046856,Varenicline,CHANTIX,225,2012.5
MCOU,MA,2012,2,F,00069046856,Varenicline,CHANTIX,57,2012.25
FFSU,NH,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,OR,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,NY,2012,4,F,00069046856,Varenicline,CHANTIX,61,2012.75
FFSU,NE,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,MI,2012,1,F,00069046856,Varenicline,CHANTIX,22,2012
MCOU,NY,2012,3,F,00069046856,Varenicline,CHANTIX,485,2012.5
FFSU,DC,2012,3,F,00069046856,Varenicline,CHANTIX,18,2012.5
FFSU,NE,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,IA,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,MA,2012,1,F,00069046856,Varenicline,CHANTIX,157,2012
MCOU,OR,2012,1,F,00069046856,Varenicline,CHANTIX,60,2012
MCOU,NM,2012,3,F,00069046856,Varenicline,CHANTIX,22,2012.5
MCOU,NY,2012,1,F,00069046856,Varenicline,CHANTIX,521,2012
FFSU,OK,2012,1,F,00069046856,Varenicline,CHANTIX,23,2012
FFSU,CA,2012,2,F,00069046856,Varenicline,CHANTIX,169,2012.25
MCOU,VA,2012,1,F,00069046856,Varenicline,CHANTIX,19,2012
FFSU,WY,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,DE,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,SD,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,OR,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,NY,2012,2,F,00069046856,Varenicline,CHANTIX,502,2012.25
FFSU,OK,2012,3,F,00069046856,Varenicline,CHANTIX,28,2012.5
MCOU,UT,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,WA,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
MCOU,IL,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,KS,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,AK,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,ID,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,KS,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,MT,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,MS,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,AK,2012,1,F,00069046856,Varenicline,CHANTIX,12,2012
FFSU,AR,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,AK,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,MD,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,SC,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
MCOU,KS,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,WY,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,DE,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,ND,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,WY,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,NV,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,ID,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,UT,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,NH,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,WA,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,SD,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
MCOU,WI,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,MN,2012,1,F,00069046856,Varenicline,CHANTIX,70,2012
FFSU,UT,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,WY,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,NV,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,AK,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,MS,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,NJ,2012,4,F,00069046856,Varenicline,CHANTIX,48,2012.75
FFSU,WI,2012,1,F,00069046856,Varenicline,CHANTIX,130,2012
FFSU,KY,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
MCOU,SC,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
MCOU,NE,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
MCOU,MS,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,OH,2012,2,F,00069046856,Varenicline,CHANTIX,26,2012.25
FFSU,VA,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,IA,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,FL,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,MS,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,SD,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
MCOU,HI,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,MD,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,NV,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,MD,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,MA,2012,4,F,00069046856,Varenicline,CHANTIX,77,2012.75
MCOU,VA,2012,3,F,00069046856,Varenicline,CHANTIX,21,2012.5
FFSU,DE,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
MCOU,WA,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,MT,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,HI,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,SC,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,SC,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
MCOU,MS,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,KS,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,DC,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,MI,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,IL,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,WA,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,OR,2012,1,F,00069046856,Varenicline,CHANTIX,18,2012
FFSU,ME,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,VA,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,OH,2012,1,F,00069046856,Varenicline,CHANTIX,23,2012
MCOU,FL,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,NH,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,MN,2012,3,F,00069046856,Varenicline,CHANTIX,81,2012.5
FFSU,KY,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,OR,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,NC,2012,4,F,00069046856,Varenicline,CHANTIX,139,2012.75
FFSU,VT,2012,2,F,00069046856,Varenicline,CHANTIX,41,2012.25
FFSU,MD,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,MO,2012,4,F,00069046856,Varenicline,CHANTIX,48,2012.75
MCOU,WA,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
FFSU,UT,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,NJ,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
FFSU,NE,2012,3,T,00069046856,Varenicline,CHANTIX,0,2012.5
MCOU,SC,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,MT,2012,2,T,00069046856,Varenicline,CHANTIX,0,2012.25
FFSU,MT,2012,1,T,00069046856,Varenicline,CHANTIX,0,2012
FFSU,KY,2012,4,T,00069046856,Varenicline,CHANTIX,0,2012.75
MCOU,AZ,2012,1,F,00069046856,Varenicline,CHANTIX,87,2012
FFSU,OH,2012,4,F,00069046856,Varenicline,CHANTIX,23,2012.75
MCOU,NJ,2012,1,F,00069046856,Varenicline,CHANTIX,28,2012
MCOU,KY,2012,2,F,00069046856,Varenicline,CHANTIX,60,2012.25
FFSU,UT,2012,1,F,00069046856,Varenicline,CHANTIX,16,2012
MCOU,MI,2012,4,F,00069046856,Varenicline,CHANTIX,29,2012.75
FFSU,MN,2012,3,F,00069046856,Varenicline,CHANTIX,22,2012.5
FFSU,CO,2012,3,F,00069046856,Varenicline,CHANTIX,27,2012.5
MCOU,CA,2012,1,F,00069046856,Varenicline,CHANTIX,58,2012
MCOU,OH,2012,4,F,00069046856,Varenicline,CHANTIX,281,2012.75
MCOU,PA,2012,4,F,00069046856,Varenicline,CHANTIX,68,2012.75
FFSU,ME,2012,2,F,00069046856,Varenicline,CHANTIX,531,2012.25
MCOU,MD,2012,2,F,00069046856,Varenicline,CHANTIX,63,2012.25
