state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,location,notes,quarter,yearQuarter,totalEnrollees
Kentucky,1060566,247899,247899,0,2016,12,2014,3,"Kentucky
(37.526683, -85.290484)","",1,2014,1060566
Kentucky,997084,197850,197850,0,2016,12,2014,2,"Kentucky
(37.526683, -85.290484)","",1,2014,997084
Kentucky,950515,161540,161540,0,2016,12,2014,1,"Kentucky
(37.526683, -85.290484)","",1,2014,950515
Kentucky,1101231,287506,287506,0,2016,12,2014,5,"Kentucky
(37.526683, -85.290484)","",2,2014.25,1101231
Kentucky,1108768,301103,301103,0,2016,12,2014,6,"Kentucky
(37.526683, -85.290484)","",2,2014.25,1108768
Kentucky,1088515,269075,269075,0,2016,12,2014,4,"Kentucky
(37.526683, -85.290484)","",2,2014.25,1088515
Kentucky,1133157,319642,319642,0,2016,12,2014,7,"Kentucky
(37.526683, -85.290484)","",3,2014.5,1133157
Kentucky,1142933,330128,330128,0,2016,12,2014,8,"Kentucky
(37.526683, -85.290484)","",3,2014.5,1142933
Kentucky,1146192,337869,337869,0,2016,12,2014,9,"Kentucky
(37.526683, -85.290484)","",3,2014.5,1146192
Kentucky,1229241,396777,396777,0,2016,12,2014,12,"Kentucky
(37.526683, -85.290484)","",4,2014.75,1229241
Kentucky,1209927,382372,382372,0,2016,12,2014,11,"Kentucky
(37.526683, -85.290484)","",4,2014.75,1209927
Kentucky,1197172,370046,370046,0,2016,12,2014,10,"Kentucky
(37.526683, -85.290484)","",4,2014.75,1197172
Kentucky,1271289,428199,428199,0,2017,7,2015,3,"Kentucky
(37.526683, -85.290484)","",1,2015,1271289
Kentucky,1261545,420472,420472,0,2017,7,2015,2,"Kentucky
(37.526683, -85.290484)","",1,2015,1261545
Kentucky,1246412,407337,407337,0,2017,7,2015,1,"Kentucky
(37.526683, -85.290484)","",1,2015,1246412
Kentucky,1267940,424667,424667,0,2017,7,2015,5,"Kentucky
(37.526683, -85.290484)","",2,2015.25,1267940
