state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,location,notes
Amer. Samoa,28183,"","","",2020,2,2018,10,"",""
Amer. Samoa,28183,"","","",2020,2,2019,1,"",""
Totals,70888822,7934664,5750308,2184356,2016,12,2014,4,"",""
Kansas,369499,"","","",2020,2,2019,1,"Kansas
(38.484729, -98.38018)",""
N. Mariana Islands,15963,"","","",2020,2,2019,2,"",""
Totals,75153292,15448306,12201118,3247188,2020,2,2019,2,"",""
Amer. Samoa,37829,"","","",2020,2,2019,4,"",""
Georgia,1941288,"","","",2020,2,2018,8,"Georgia
(32.638481, -83.426574)",""
Amer. Samoa,27898,"","","",2020,2,2018,9,"",""
Ohio,2919452,590989,590699,290,2020,2,2018,9,"Ohio
(40.415534, -82.70936)",""
Wyoming,57513,"","","",2020,2,2018,9,"Wyoming
(42.999627, -107.55145)",""
Vermont,174201,57473,0,57473,2020,2,2018,9,"Vermont
(44.075252, -72.662695)",""
Puerto Rico,1241794,411936,"",411936,2020,2,2018,9,"Puerto Rico
(18.215692, -66.414655)",""
New Hampshire,186728,55024,54727,297,2020,2,2018,9,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Virgin Islands,25474,11347,"",11347,2020,2,2018,9,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
New Jersey,1674135,555514,555514,0,2020,2,2018,9,"New Jersey
(40.110253, -74.655514)",""
North Dakota,91096,19872,18885,987,2020,2,2018,9,"North Dakota
(47.446305, -100.46931)",""
Wisconsin,1181756,"","","",2020,2,2018,9,"Wisconsin
(44.639954, -89.732969)",""
Pennsylvania,2855345,770564,731789,38775,2020,2,2018,9,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1073040,0,0,0,2020,2,2018,9,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Tennessee,1496795,"","","",2020,2,2018,9,"Tennessee
(35.842998, -86.343226)",""
New Mexico,826594,248307,248307,0,2020,2,2018,9,"New Mexico
(34.421369, -106.108388)",""
South Carolina,1262242,"","","",2020,2,2018,9,"South Carolina
(33.878572, -80.864614)",""
