yearQuarter,state,totalRX
2012,AK,103
2012.25,AK,217
2012.5,AK,184
2012.75,AK,221
2013,AK,265
2013.25,AK,233
2013.5,AK,197
2013.75,AK,173
2014,AK,183
2014.25,AK,195
2014.5,AK,177
2014.75,AK,192
2015,AK,189
2015.25,AK,188
2015.5,AK,179
2015.75,AK,232
2016,AK,334
2016.25,AK,338
2016.5,AK,440
2016.75,AK,392
2017,AK,469
2017.25,AK,515
2017.5,AK,576
2017.75,AK,486
2018,AK,533
2018.25,AK,442
2018.5,AK,605
2018.75,AK,514
2019,AK,527
2019.25,AK,626
2019.5,AK,547
2019.75,AK,543
2020,AK,462
2020.25,AK,552
2020.5,AK,512
2020.75,AK,504
2021,AK,534
2014.25,AL,15
2014.5,AL,17
2014.75,AL,22
2015,AL,20
2015.25,AL,26
2015.5,AL,23
2015.75,AL,42
2016,AL,67
2016.25,AL,56
2016.5,AL,91
2016.75,AL,86
2017,AL,96
2017.25,AL,94
2017.5,AL,74
2017.75,AL,80
2018,AL,101
2018.25,AL,153
2018.5,AL,179
2018.75,AL,213
2019,AL,232
2019.25,AL,250
2019.5,AL,194
2019.75,AL,224
2020,AL,260
2020.25,AL,221
2020.5,AL,180
2020.75,AL,197
2021,AL,238
2012,AR,190
2012.25,AR,460
2012.5,AR,415
2012.75,AR,473
2013,AR,424
2013.25,AR,456
2013.5,AR,464
2013.75,AR,465
2014,AR,583
2014.25,AR,829
2014.5,AR,819
2014.75,AR,765
2015,AR,681
2015.25,AR,710
2015.5,AR,699
2015.75,AR,796
2016,AR,904
2016.25,AR,882
2016.5,AR,815
2016.75,AR,767
2017,AR,812
2017.25,AR,844
2017.5,AR,859
2017.75,AR,786
2018,AR,905
2018.25,AR,943
2018.5,AR,977
2018.75,AR,1068
2019,AR,1021
2019.25,AR,998
2019.5,AR,1063
2019.75,AR,990
2020,AR,1147
2020.25,AR,965
2020.5,AR,999
2020.75,AR,967
2021,AR,733
2012,AZ,1319
2012.25,AZ,1832
2012.5,AZ,1250
2012.75,AZ,2595
2013,AZ,2027
2013.25,AZ,2421
2013.5,AZ,1998
2013.75,AZ,2815
2014,AZ,1574
2014.25,AZ,2126
2014.5,AZ,4010
2014.75,AZ,3948
2015,AZ,2822
