

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |AK    |     103|
|2012 Q2     |AK    |     217|
|2012 Q3     |AK    |     184|
|2012 Q4     |AK    |     221|
|2013 Q1     |AK    |     265|
|2013 Q2     |AK    |     233|
|2013 Q3     |AK    |     197|
|2013 Q4     |AK    |     173|
|2014 Q1     |AK    |     183|
|2014 Q2     |AK    |     195|
|2014 Q3     |AK    |     177|
|2014 Q4     |AK    |     192|
|2015 Q1     |AK    |     189|
|2015 Q2     |AK    |     188|
|2015 Q3     |AK    |     179|
|2015 Q4     |AK    |     232|
|2016 Q1     |AK    |     334|
|2016 Q2     |AK    |     338|
|2016 Q3     |AK    |     440|
|2016 Q4     |AK    |     392|
|2017 Q1     |AK    |     469|
|2017 Q2     |AK    |     515|
|2017 Q3     |AK    |     576|
|2017 Q4     |AK    |     486|
|2018 Q1     |AK    |     533|
|2018 Q2     |AK    |     442|
|2018 Q3     |AK    |     605|
|2018 Q4     |AK    |     514|
|2019 Q1     |AK    |     527|
|2019 Q2     |AK    |     626|
|2019 Q3     |AK    |     547|
|2019 Q4     |AK    |     543|
|2020 Q1     |AK    |     462|
|2020 Q2     |AK    |     552|
|2020 Q3     |AK    |     512|
|2020 Q4     |AK    |     504|
|2021 Q1     |AK    |     534|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2014 Q2     |AL    |      15|
|2014 Q3     |AL    |      17|
|2014 Q4     |AL    |      22|
|2015 Q1     |AL    |      20|
|2015 Q2     |AL    |      26|
|2015 Q3     |AL    |      23|
|2015 Q4     |AL    |      42|
|2016 Q1     |AL    |      67|
|2016 Q2     |AL    |      56|
|2016 Q3     |AL    |      91|
|2016 Q4     |AL    |      86|
|2017 Q1     |AL    |      96|
|2017 Q2     |AL    |      94|
|2017 Q3     |AL    |      74|
|2017 Q4     |AL    |      80|
|2018 Q1     |AL    |     101|
|2018 Q2     |AL    |     153|
|2018 Q3     |AL    |     179|
|2018 Q4     |AL    |     213|
|2019 Q1     |AL    |     232|
|2019 Q2     |AL    |     250|
|2019 Q3     |AL    |     194|
|2019 Q4     |AL    |     224|
|2020 Q1     |AL    |     260|
|2020 Q2     |AL    |     221|
|2020 Q3     |AL    |     180|
|2020 Q4     |AL    |     197|
|2021 Q1     |AL    |     238|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |AR    |     190|
|2012 Q2     |AR    |     460|
|2012 Q3     |AR    |     415|
|2012 Q4     |AR    |     473|
|2013 Q1     |AR    |     424|
|2013 Q2     |AR    |     456|
|2013 Q3     |AR    |     464|
|2013 Q4     |AR    |     465|
|2014 Q1     |AR    |     583|
|2014 Q2     |AR    |     829|
|2014 Q3     |AR    |     819|
|2014 Q4     |AR    |     765|
|2015 Q1     |AR    |     681|
|2015 Q2     |AR    |     710|
|2015 Q3     |AR    |     699|
|2015 Q4     |AR    |     796|
|2016 Q1     |AR    |     904|
|2016 Q2     |AR    |     882|
|2016 Q3     |AR    |     815|
|2016 Q4     |AR    |     767|
|2017 Q1     |AR    |     812|
|2017 Q2     |AR    |     844|
|2017 Q3     |AR    |     859|
|2017 Q4     |AR    |     786|
|2018 Q1     |AR    |     905|
|2018 Q2     |AR    |     943|
|2018 Q3     |AR    |     977|
|2018 Q4     |AR    |    1068|
|2019 Q1     |AR    |    1021|
|2019 Q2     |AR    |     998|
|2019 Q3     |AR    |    1063|
|2019 Q4     |AR    |     990|
|2020 Q1     |AR    |    1147|
|2020 Q2     |AR    |     965|
|2020 Q3     |AR    |     999|
|2020 Q4     |AR    |     967|
|2021 Q1     |AR    |     733|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |AZ    |    1319|
|2012 Q2     |AZ    |    1832|
|2012 Q3     |AZ    |    1250|
|2012 Q4     |AZ    |    2595|
|2013 Q1     |AZ    |    2027|
|2013 Q2     |AZ    |    2421|
|2013 Q3     |AZ    |    1998|
|2013 Q4     |AZ    |    2815|
|2014 Q1     |AZ    |    1574|
|2014 Q2     |AZ    |    2126|
|2014 Q3     |AZ    |    4010|
|2014 Q4     |AZ    |    3948|
|2015 Q1     |AZ    |    2822|
|2015 Q2     |AZ    |    3821|
|2015 Q3     |AZ    |    3300|
|2015 Q4     |AZ    |    3279|
|2016 Q1     |AZ    |    5067|
|2016 Q2     |AZ    |    3618|
|2016 Q3     |AZ    |    3418|
|2016 Q4     |AZ    |    3536|
|2017 Q1     |AZ    |    3837|
|2017 Q2     |AZ    |    3846|
|2017 Q3     |AZ    |    4090|
|2017 Q4     |AZ    |    3724|
|2018 Q1     |AZ    |    3817|
|2018 Q2     |AZ    |    3703|
|2018 Q3     |AZ    |    3917|
|2018 Q4     |AZ    |    3945|
|2019 Q1     |AZ    |    3932|
|2019 Q2     |AZ    |    3858|
|2019 Q3     |AZ    |    3774|
|2019 Q4     |AZ    |    3628|
|2020 Q1     |AZ    |    3582|
|2020 Q2     |AZ    |    3117|
|2020 Q3     |AZ    |    3021|
|2020 Q4     |AZ    |    2976|
|2021 Q1     |AZ    |    2240|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |CA    |    1207|
|2012 Q2     |CA    |    2332|
|2012 Q3     |CA    |    2379|
|2012 Q4     |CA    |    2364|
|2013 Q1     |CA    |    2225|
|2013 Q2     |CA    |    2128|
|2013 Q3     |CA    |    2496|
|2013 Q4     |CA    |    1963|
|2014 Q1     |CA    |    2781|
|2014 Q2     |CA    |    3588|
|2014 Q3     |CA    |    4265|
|2014 Q4     |CA    |    4088|
|2015 Q1     |CA    |    4243|
|2015 Q2     |CA    |    4662|
|2015 Q3     |CA    |    4781|
|2015 Q4     |CA    |    5364|
|2016 Q1     |CA    |    6072|
|2016 Q2     |CA    |    7065|
|2016 Q3     |CA    |    6495|
|2016 Q4     |CA    |    7642|
|2017 Q1     |CA    |    9445|
|2017 Q2     |CA    |   11116|
|2017 Q3     |CA    |    9733|
|2017 Q4     |CA    |   10327|
|2018 Q1     |CA    |   10967|
|2018 Q2     |CA    |   11686|
|2018 Q3     |CA    |   11758|
|2018 Q4     |CA    |   11824|
|2019 Q1     |CA    |   12017|
|2019 Q2     |CA    |   12883|
|2019 Q3     |CA    |   12897|
|2019 Q4     |CA    |   12400|
|2020 Q1     |CA    |   12893|
|2020 Q2     |CA    |   11362|
|2020 Q3     |CA    |   10594|
|2020 Q4     |CA    |   10157|
|2021 Q1     |CA    |    9765|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |CO    |     202|
|2012 Q2     |CO    |     588|
|2012 Q3     |CO    |     558|
|2012 Q4     |CO    |     576|
|2013 Q1     |CO    |     555|
|2013 Q2     |CO    |     641|
|2013 Q3     |CO    |     635|
|2013 Q4     |CO    |     638|
|2014 Q1     |CO    |     733|
|2014 Q2     |CO    |    1195|
|2014 Q3     |CO    |    1175|
|2014 Q4     |CO    |    1005|
|2015 Q1     |CO    |    1425|
|2015 Q2     |CO    |    1226|
|2015 Q3     |CO    |    1016|
|2015 Q4     |CO    |    1135|
|2016 Q1     |CO    |    1465|
|2016 Q2     |CO    |    1492|
|2016 Q3     |CO    |    1298|
|2016 Q4     |CO    |    1278|
|2017 Q1     |CO    |    1374|
|2017 Q2     |CO    |    1660|
|2017 Q3     |CO    |    1661|
|2017 Q4     |CO    |    1562|
|2018 Q1     |CO    |    1343|
|2018 Q2     |CO    |    1559|
|2018 Q3     |CO    |    1576|
|2018 Q4     |CO    |    2356|
|2019 Q1     |CO    |    2532|
|2019 Q2     |CO    |    2849|
|2019 Q3     |CO    |    3057|
|2019 Q4     |CO    |    2829|
|2020 Q1     |CO    |    3044|
|2020 Q2     |CO    |    2581|
|2020 Q3     |CO    |    2682|
|2020 Q4     |CO    |    2696|
|2021 Q1     |CO    |    3188|

|yearQuarter |state | totalRX|
|:-----------|:-----|-------:|
|2012 Q1     |CT    |     788|
|2012 Q2     |CT    |    2232|
|2012 Q3     |CT    |    2057|
|2012 Q4     |CT    |    2104|
|2013 Q1     |CT    |    2325|
|2013 Q2     |CT    |    2287|
|2013 Q3     |CT    |    2120|
|2013 Q4     |CT    |    2138|
|2014 Q1     |CT    |    2371|
|2014 Q2     |CT    |    2796|
|2014 Q3     |CT    |    2940|
|2014 Q4     |CT    |    2983|
|2015 Q1     |CT    |    2836|
|2015 Q2     |CT    |    2943|
|2015 Q3     |CT    |    2921|
|2015 Q4     |CT    |    3042|
|2016 Q1     |CT    |    3303|
|2016 Q2     |CT    |    3337|
|2016 Q3     |CT    |    3527|
|2016 Q4     |CT    |    3279|
|2017 Q1     |CT    |    3476|
